location_id,global_region,country,location_label,lower_age,upper_age,deaths,fatalities_citation_id
54,Latin America,Colombia,Ipiales,61,100,87,a-302
58,Latin America,Ecuador,Cuenca,0,100,713,n-1104
58,Latin America,Ecuador,Cuenca,0,19,5,n-1104
58,Latin America,Ecuador,Cuenca,20,34,14,n-1104
58,Latin America,Ecuador,Cuenca,35,49,54,n-1104
58,Latin America,Ecuador,Cuenca,50,64,163,n-1104
58,Latin America,Ecuador,Cuenca,65,100,477,n-1104
59,Latin America,Peru,Cusco Province,0,100,833,a-309
59,Latin America,Peru,Cusco Province,0,11,0,a-309
59,Latin America,Peru,Cusco Province,12,17,0,a-309
59,Latin America,Peru,Cusco Province,18,29,5,a-309
59,Latin America,Peru,Cusco Province,30,59,236,a-309
59,Latin America,Peru,Cusco Province,60,100,592,a-309
60,Latin America,Peru,Lambayeque,0,100,1855,a-309
60,Latin America,Peru,Lambayeque,0,8,4,a-309
60,Latin America,Peru,Lambayeque,9,20,5,a-309
60,Latin America,Peru,Lambayeque,21,30,14,a-309
60,Latin America,Peru,Lambayeque,31,40,57,a-309
60,Latin America,Peru,Lambayeque,41,50,158,a-309
60,Latin America,Peru,Lambayeque,51,60,347,a-309
60,Latin America,Peru,Lambayeque,61,70,507,a-309
60,Latin America,Peru,Lambayeque,71,80,428,a-309
60,Latin America,Peru,Lambayeque,81,100,335,a-309
63,Latin America,Peru,Lima (Metropolitana) + Callao,0,100,22914,a-309
63,Latin America,Peru,Lima (Metropolitana) + Callao,0,11,55,a-309
63,Latin America,Peru,Lima (Metropolitana) + Callao,12,17,15,a-309
63,Latin America,Peru,Lima (Metropolitana) + Callao,18,29,213,a-309
63,Latin America,Peru,Lima (Metropolitana) + Callao,30,59,6403,a-309
63,Latin America,Peru,Lima (Metropolitana) + Callao,60,100,16228,a-309
64,Latin America,Peru,"Iquitos, Loreto",0,100,580,a-309
64,Latin America,Peru,"Iquitos, Loreto",0,11,1,a-309
64,Latin America,Peru,"Iquitos, Loreto",12,17,0,a-309
64,Latin America,Peru,"Iquitos, Loreto",18,29,1,a-309
64,Latin America,Peru,"Iquitos, Loreto",30,59,173,a-309
64,Latin America,Peru,"Iquitos, Loreto",60,100,405,a-309
73,Latin America,Brazil,Sao Paulo City,0,100,19030,a-304
73,Latin America,Brazil,Sao Paulo City,0,4,28,a-304
73,Latin America,Brazil,Sao Paulo City,5,9,11,a-304
73,Latin America,Brazil,Sao Paulo City,10,14,10,a-304
73,Latin America,Brazil,Sao Paulo City,15,19,29,a-304
73,Latin America,Brazil,Sao Paulo City,20,24,66,a-304
73,Latin America,Brazil,Sao Paulo City,25,29,89,a-304
73,Latin America,Brazil,Sao Paulo City,30,34,199,a-304
73,Latin America,Brazil,Sao Paulo City,35,39,297,a-304
73,Latin America,Brazil,Sao Paulo City,40,44,454,a-304
73,Latin America,Brazil,Sao Paulo City,45,49,595,a-304
73,Latin America,Brazil,Sao Paulo City,50,54,931,a-304
73,Latin America,Brazil,Sao Paulo City,55,59,1294,a-304
73,Latin America,Brazil,Sao Paulo City,60,64,1774,a-304
73,Latin America,Brazil,Sao Paulo City,65,69,2184,a-304
73,Latin America,Brazil,Sao Paulo City,70,74,2355,a-304
73,Latin America,Brazil,Sao Paulo City,75,79,2267,a-304
73,Latin America,Brazil,Sao Paulo City,80,84,2478,a-304
73,Latin America,Brazil,Sao Paulo City,85,100,3969,a-304
74,Latin America,Brazil,Foz do Iguacu,0,100,7,n-16
77,South Asia,India,Kashmir: Srinagar district,0,100,396,n-1006
78,South Asia,Nepal,National Study,0,100,1800,n-1001
80,Africa,Ethiopia,Addis Ababa,0,100,122,s-1
81,Middle East,Iran,National Study,0,100,29070,n-1000
82,Latin America,Mexico,National Study,0,100,151910,a-202
83,South Asia,India,Odisha: Bhubaneswar,0,100,18,n-1014
84,South Asia,India,Odisha: Berhampur,0,100,56,n-1023
87,Africa,South Africa,Gauteng,0,100,6170,"n-1071, a-309"
90,Africa,South Africa,Mitchells Plain,0,100,861,"n-1041 , n-1042"
98,Africa,Ethiopia,Diredawa,0,100,6,s-1
102,Africa,Zambia,Ndola + 5 other districts,0,100,237,ss-1037
120,Europe,Russia,St. Petersburg,0,100,2839,"n-1097 , n-1098"
121,East Asia,China,Wuhan,0,100,3869,n-1075
121,East Asia,China,Wuhan,0,19,4,n-1076
121,East Asia,China,Wuhan,20,39,93,n-1076
121,East Asia,China,Wuhan,40,59,635,n-1076
121,East Asia,China,Wuhan,60,100,3134,n-1076
123,East  Asia,China,Hubei province (excluding Wuhan),0,100,643,n-1075
125,Middle East,Pakistan,Karachi,0,100,1943,n-1051
126,Middle East,Pakistan,Lahore,0,100,842,n-1051
140,South Asia ,India,Mumbai (3 wards),0,100,661,a-201
144,Europe,Poland,Katowice region (Gliwice + Katowice + Sosnowiec),0,100,516,a-315
148,Latin America,Colombia,Cordoba: 8 cities,0,100,1180,a-302
148,Latin America,Colombia,Cordoba: 8 cities,0,9,0,a-302
148,Latin America,Colombia,Cordoba: 8 cities,10,19,2,a-302
148,Latin America,Colombia,Cordoba: 8 cities,20,29,16,a-302
148,Latin America,Colombia,Cordoba: 8 cities,30,34,15,a-302
148,Latin America,Colombia,Cordoba: 8 cities,35,39,23,a-302
148,Latin America,Colombia,Cordoba: 8 cities,40,44,42,a-302
148,Latin America,Colombia,Cordoba: 8 cities,45,49,42,a-302
148,Latin America,Colombia,Cordoba: 8 cities,50,54,64,a-302
148,Latin America,Colombia,Cordoba: 8 cities,55,59,89,a-302
148,Latin America,Colombia,Cordoba: 8 cities,60,64,109,a-302
148,Latin America,Colombia,Cordoba: 8 cities,65,69,150,a-302
148,Latin America,Colombia,Cordoba: 8 cities,70,74,149,a-302
148,Latin America,Colombia,Cordoba: 8 cities,75,79,129,a-302
148,Latin America,Colombia,Cordoba: 8 cities,80,84,160,a-302
148,Latin America,Colombia,Cordoba: 8 cities,85,100,190,a-302
156,Middle East,Jordan,National Study,0,100,4269,n-1077
156,Middle East,Jordan,National Study,0,4,4,a-305
156,Middle East,Jordan,National Study,5,14,6,a-305
156,Middle East,Jordan,National Study,15,24,22,a-305
156,Middle East,Jordan,National Study,25,34,42,a-305
156,Middle East,Jordan,National Study,35,44,131,a-305
156,Middle East,Jordan,National Study,45,54,404,a-305
156,Middle East,Jordan,National Study,55,64,859,a-305
156,Middle East,Jordan,National Study,65,74,1166,a-305
156,Middle East,Jordan,National Study,75,84,1185,a-305
156,Middle East,Jordan,National Study,85,100,383,a-305
192,Europe,Hungary,National Study,0,100,539,n-1044
192,Europe,Hungary,National Study,0,14,0,n-1045
192,Europe,Hungary,National Study,15,39,4,n-1045
192,Europe,Hungary,National Study,40,64,56,n-1045
192,Europe,Hungary,National Study,65,100,482,n-1045
201,South Asia,India,Tamil Nadu (iFlash districts),0,100,2546,"ss-32 , a-306"
201,South Asia,India,Tamil Nadu (iFlash districts),0,18,14,"ss-32 , a-306"
201,South Asia,India,Tamil Nadu (iFlash districts),19,24,8,"ss-32 , a-306"
201,South Asia,India,Tamil Nadu (iFlash districts),25,29,20,"ss-32 , a-306"
201,South Asia,India,Tamil Nadu (iFlash districts),30,34,34,"ss-32 , a-306"
201,South Asia,India,Tamil Nadu (iFlash districts),35,39,36,"ss-32 , a-306"
201,South Asia,India,Tamil Nadu (iFlash districts),40,44,84,"ss-32 , a-306"
201,South Asia,India,Tamil Nadu (iFlash districts),45,49,119,"ss-32 , a-306"
201,South Asia,India,Tamil Nadu (iFlash districts),50,54,268,"ss-32 , a-306"
201,South Asia,India,Tamil Nadu (iFlash districts),55,59,343,"ss-32 , a-306"
201,South Asia,India,Tamil Nadu (iFlash districts),60,64,364,"ss-32 , a-306"
201,South Asia,India,Tamil Nadu (iFlash districts),65,69,411,"ss-32 , a-306"
201,South Asia,India,Tamil Nadu (iFlash districts),70,74,395,"ss-32 , a-306"
201,South Asia,India,Tamil Nadu (iFlash districts),75,79,223,"ss-32 , a-306"
