location_id,global_region,country,location_label,lower_age,upper_age,sample_size,num_positive
30,Africa,Mozambique,Chimoio,60,100,508,10
31,Africa,Mozambique,Chakwe,0,100,2451,128.56
31,Africa,Mozambique,Chakwe,0,14,1010,56.56
31,Africa,Mozambique,Chakwe,15,34,825,46
31,Africa,Mozambique,Chakwe,35,59,432,20
31,Africa,Mozambique,Chakwe,60,100,184,6
32,Africa,Mozambique,Maxixe,0,100,3974,219
32,Africa,Mozambique,Maxixe,0,14,1657,89
32,Africa,Mozambique,Maxixe,15,34,1204,72
32,Africa,Mozambique,Maxixe,35,59,771,43
32,Africa,Mozambique,Maxixe,60,100,342,15
33,Africa,Mozambique,Massinga,0,100,1577,117
33,Africa,Mozambique,Massinga,0,14,630,31
33,Africa,Mozambique,Massinga,15,34,551,58
33,Africa,Mozambique,Massinga,35,59,285,21
33,Africa,Mozambique,Massinga,60,100,111,7
34,Africa,Mozambique,Xai-Xai,0,100,4932,181
34,Africa,Mozambique,Xai-Xai,0,14,1772,44
34,Africa,Mozambique,Xai-Xai,15,34,1834,73
34,Africa,Mozambique,Xai-Xai,35,59,923,45
34,Africa,Mozambique,Xai-Xai,60,100,403,19
36,Africa,Kenya,Nairobi County,0,100,1164,384
36,Africa,Kenya,Nairobi County,0,9,179,34
36,Africa,Kenya,Nairobi County,10,19,244,74
36,Africa,Kenya,Nairobi County,20,29,265,100
36,Africa,Kenya,Nairobi County,30,39,241,95
36,Africa,Kenya,Nairobi County,40,49,134,51
36,Africa,Kenya,Nairobi County,50,59,61,21
36,Africa,Kenya,Nairobi County,60,100,40,9
37,Africa,Nigeria,Niger State,0,100,185,47
37,Africa,Nigeria,Niger State,0,5,15,1
37,Africa,Nigeria,Niger State,6,17,26,5
37,Africa,Nigeria,Niger State,18,29,34,6
37,Africa,Nigeria,Niger State,30,41,45,15
37,Africa,Nigeria,Niger State,42,53,37,12
37,Africa,Nigeria,Niger State,54,65,20,6
37,Africa,Nigeria,Niger State,66,100,8,2
38,Latin America,Argentina,Buenos Aires City,0,100,2024,203
38,Latin America,Argentina,Buenos Aires City,0,17,403,50
38,Latin America,Argentina,Buenos Aires City,18,39,702,73
38,Latin America,Argentina,Buenos Aires City,40,59,480,40
38,Latin America,Argentina,Buenos Aires City,60,100,439,40
40,Latin America,Argentina,Municipality of Hurlingham,0,100,1182,143
40,Latin America,Argentina,Municipality of Hurlingham,18,30,169,26
40,Latin America,Argentina,Municipality of Hurlingham,31,40,183,26
40,Latin America,Argentina,Municipality of Hurlingham,41,50,203,22
40,Latin America,Argentina,Municipality of Hurlingham,51,60,164,22
40,Latin America,Argentina,Municipality of Hurlingham,61,70,240,28
40,Latin America,Argentina,Municipality of Hurlingham,71,80,139,11
40,Latin America,Argentina,Municipality of Hurlingham,81,100,31,1
42,Latin America,Bolivia,Santa Cruz,0,100,2956,681
44,Latin America,Colombia,Leticia,0,100,1417,726
44,Latin America,Colombia,Leticia,5,10,157,79
44,Latin America,Colombia,Leticia,11,18,245,129
44,Latin America,Colombia,Leticia,19,40,518,282
44,Latin America,Colombia,Leticia,41,60,339,166
44,Latin America,Colombia,Leticia,61,100,158,70
45,Latin America,Colombia,Barranquilla,0,100,1426,697
45,Latin America,Colombia,Barranquilla,5,10,113,62
45,Latin America,Colombia,Barranquilla,11,18,230,139
45,Latin America,Colombia,Barranquilla,19,40,433,211
45,Latin America,Colombia,Barranquilla,41,60,375,171
45,Latin America,Colombia,Barranquilla,61,100,242,102
46,Latin America,Colombia,Medellin,0,100,1987,464
46,Latin America,Colombia,Medellin,5,10,129,33
46,Latin America,Colombia,Medellin,11,18,247,61
46,Latin America,Colombia,Medellin,19,40,650,171
46,Latin America,Colombia,Medellin,41,60,509,128
46,Latin America,Colombia,Medellin,61,100,452,71
48,Latin America,Colombia,Bucaramanga,0,100,1425,398
48,Latin America,Colombia,Bucaramanga,5,10,55,18
48,Latin America,Colombia,Bucaramanga,11,18,137,47
48,Latin America,Colombia,Bucaramanga,19,40,535,160
48,Latin America,Colombia,Bucaramanga,41,60,432,111
48,Latin America,Colombia,Bucaramanga,61,100,266,62
49,Latin America,Colombia,Cucuta,0,100,1454,508
49,Latin America,Colombia,Cucuta,5,10,104,39
49,Latin America,Colombia,Cucuta,11,18,190,76
49,Latin America,Colombia,Cucuta,19,40,481,189
