location_id,country,location,lower_age,upper_age,Mean,x025,x975
33,Mozambique,Massinga,60,100,7.2095781,2.8097604,13.1031301
34,Mozambique,Xai-Xai,0,14,2.4475621,1.6535339,3.3092182
34,Mozambique,Xai-Xai,15,34,3.9934888,3.0255671,5.0469331
34,Mozambique,Xai-Xai,35,59,5.0083675,3.5979203,6.5986329
34,Mozambique,Xai-Xai,60,100,5.0781552,3.0637368,7.5108303
37,Nigeria,Niger State,0,5,12.3890054,2.2945833,28.8747186
37,Nigeria,Niger State,6,17,19.5266061,7.7165362,34.461912
37,Nigeria,Niger State,18,29,17.8455086,7.437351,30.9063712
37,Nigeria,Niger State,30,41,31.1919578,19.0691102,44.6119759
37,Nigeria,Niger State,42,53,30.1854072,17.0159131,44.7156286
37,Nigeria,Niger State,54,65,27.6352505,12.537682,45.6605711
37,Nigeria,Niger State,66,100,24.2397517,6.8395576,47.9930658
55,Dominican Republic,10 Provinces,0,100,7.5845167,4.8071077,10.3011238
58,Ecuador,Cuenca,0,19,10.9176428,7.7337127,14.4689362
58,Ecuador,Cuenca,20,34,11.3110362,8.6065548,14.2052153
58,Ecuador,Cuenca,35,49,15.7701535,12.658562,19.0119801
58,Ecuador,Cuenca,50,64,13.399123,10.1610247,16.9734065
58,Ecuador,Cuenca,65,100,12.7160817,8.8376661,16.9499784
88,India,Odisha: Rourkela,0,19,21.3943227,10.8362342,34.361909
88,India,Odisha: Rourkela,20,29,23.2167314,17.9818523,28.9912509
88,India,Odisha: Rourkela,30,39,23.9692359,19.5036718,28.7154339
88,India,Odisha: Rourkela,40,49,22.9392421,18.6327709,27.5644476
88,India,Odisha: Rourkela,50,59,22.7788273,18.1098517,27.9016327
88,India,Odisha: Rourkela,60,100,28.5177114,22.8399146,34.6174321
94,Albania,"Tirana (city, not county)",0,100,51.7126448,46.936972,57.663353
96,Cameroon,Cité Verte (of Yaoundé),5,14,29.4193157,23.6855772,35.6605841
